chr	start	end	name	strand	source	rank_peco	pve_peco
hs10	62538089	62554610	CDK1	+	H. sapiens	1	0.32662879798426
hs20	44441215	44445596	UBE2C	+	H. sapiens	2	0.24610093601221
hs17	38544768	38574202	TOP2A	-	H. sapiens	3	0.241854856123667
hs6	26204858	26206266	HIST1H4E	+	H. sapiens	4	0.154310851520512
hs6	26104104	26104518	HIST1H4C	+	H. sapiens	5	0.136587081694051
hs12	125396150	125401914	UBC	-	H. sapiens	6	0.0930267030258702
hs1	212208919	212280742	DTL	+	H. sapiens	7	0.0903219949827609
hs1	214776538	214837931	CENPF	+	H. sapiens	8	0.090203331904432
hs10	124913793	124924886	BUB3	+	H. sapiens	9	0.0873539945682881
hs10	13203554	13253104	MCM10	+	H. sapiens	10	0.0865853816457639
hs17	38443885	38459171	CDC6	+	H. sapiens	11	0.0864471631896191
hs17	66031635	66042958	KPNA2	+	H. sapiens	12	0.0832574593054548
hs15	69706585	69740764	KIF23	+	H. sapiens	13	0.083044542312796
hs20	54944445	54967393	AURKA	-	H. sapiens	14	0.0761283962963496
hs9	91926113	91931618	CKS2	+	H. sapiens	15	0.0681084257267438
hs2	234742062	234763212	HJURP	-	H. sapiens	16	0.0677467475386773
hs20	5095599	5107272	PCNA	-	H. sapiens	17	0.0663606499337739
hs15	32907345	32932150	ARHGAP11A	+	H. sapiens	18	0.0639850053053157
hsX	102470020	102472174	BEX4	+	H. sapiens	19	0.0596956959455569
hs12	122692210	122712081	DIABLO	-	H. sapiens	20	0.0572797207988696
hs15	91509270	91538859	PRC1	-	H. sapiens	21	0.0561524318154591
hs6	26027124	26027480	HIST1H4B	-	H. sapiens	22	0.0549377821089032
hs6	24775159	24786327	GMNN	+	H. sapiens	23	0.0546596562104399
hs18	2571510	2616634	NDC80	+	H. sapiens	24	0.0522614545358681
hs10	129894923	129924649	MKI67	-	H. sapiens	25	0.0515445211978628
hs19	54369477	54379691	MYADM	+	H. sapiens	26	0.0486128991674695
hs6	33359313	33377701	KIFC1	+	H. sapiens	27	0.0483342787743002
hs12	6953957	6961230	CDCA3	-	H. sapiens	28	0.048073215942853
hs1	38158090	38175391	CDCA8	+	H. sapiens	29	0.0469489088919094
hs15	65107831	65117867	PIF1	-	H. sapiens	30	0.04563879380039
hs11	61560109	61564716	FEN1	+	H. sapiens	31	0.0449692501112331
hs17	73131343	73164376	HN1	-	H. sapiens	32	0.0448541610376205
hs6	99845927	99873207	PNISR	-	H. sapiens	33	0.0442072563126716
hs1	45205490	45233439	KIF2C	+	H. sapiens	34	0.0427775227641309
hs6	80713604	80752244	TTK	+	H. sapiens	35	0.0411994148972959
hs2	136597196	136633996	MCM6	-	H. sapiens	36	0.0397930621504297
hs19	30302805	30315215	CCNE1	+	H. sapiens	37	0.039609675849308
hs20	32263489	32274210	E2F1	-	H. sapiens	38	0.0368336870183388
hs13	53029564	53050763	CKAP2	+	H. sapiens	39	0.0360555745735044
hs2	201374731	201448505	SGOL2	+	H. sapiens	40	0.0359491603590912
hs2	217362912	217443903	RPL37A	+	H. sapiens	41	0.0353957725092201
hs1	205681947	205719404	NUCKS1	-	H. sapiens	42	0.0347826036082645
hs2	216972187	217071026	XRCC5	+	H. sapiens	43	0.0344280907990476
hs20	37554955	37581703	FAM83D	+	H. sapiens	44	0.0342591308734044
hs19	58897767	58906173	RPS5	+	H. sapiens	45	0.0340315578181181
hs17	8108056	8113918	AURKB	-	H. sapiens	46	0.0330742373227975
hs5	72112139	72212560	TNPO1	+	H. sapiens	47	0.0326763646642415
hs1	68939835	68962904	DEPDC1	-	H. sapiens	48	0.032387552787823
hs4	104026963	104119566	CENPE	-	H. sapiens	49	0.0314258771739212
hs14	21819631	21852425	SUPT16H	-	H. sapiens	50	0.0313742477506207
hs17	61627822	61671639	DCAF7	+	H. sapiens	51	0.0311116537353913
hs8	48872745	48890720	MCM4	+	H. sapiens	52	0.0308509452914347
hs20	30327074	30389608	TPX2	+	H. sapiens	53	0.0308257686744594
hs8	124332090	124428590	ATAD2	-	H. sapiens	54	0.0307645952063615
hs3	46963216	47023500	CCDC12	-	H. sapiens	55	0.0296726901744889
hs6	30687978	30693203	TUBB	+	H. sapiens	56	0.0295363008703513
hs1	154947129	154951725	CKS1B	+	H. sapiens	57	0.0285285755062794
hs6	27840926	27841289	HIST1H4L	-	H. sapiens	58	0.0280310743939387
hs1	171454651	171562650	PRRC2C	+	H. sapiens	59	0.0274809254193465
hs14	105475910	105487485	CDCA4	-	H. sapiens	60	0.0273781780734269
hs1	242011269	242058450	EXO1	+	H. sapiens	61	0.027022266366035
hs5	64813593	64858998	CENPK	-	H. sapiens	62	0.0262662467346927
hs17	76170160	76183314	TK1	-	H. sapiens	63	0.025953559608468
hs2	113493930	113522254	CKAP2L	-	H. sapiens	64	0.0258055837901726
hs3	12875984	12883087	RPL32	-	H. sapiens	65	0.024979991255214
hs1	153777201	153895451	GATAD2B	-	H. sapiens	66	0.0241365435146494
hs3	48198636	48229892	CDC25A	-	H. sapiens	67	0.0235495865707912
hs16	3138891	3149318	ZSCAN10	-	H. sapiens	68	0.0234720181897797
hs8	48685669	48872743	PRKDC	-	H. sapiens	69	0.0227231554757737
hs1	151142463	151167797	VPS72	-	H. sapiens	70	0.0225693023477036
hs7	128095903	128098472	HILPDA	+	H. sapiens	71	0.0216493472691259
hs1	8014351	8045565	PARK7	+	H. sapiens	72	0.0215130648455278
hs11	8127597	8190602	RIC3	-	H. sapiens	73	0.0212537129365458
hs3	48481667	48485616	TMA7	+	H. sapiens	74	0.0209401678285711
hs1	226548392	226595780	PARP1	-	H. sapiens	75	0.0204349720650735
hs7	141438121	141487722	SSBP1	+	H. sapiens	76	0.0203588061571168
hs5	159678659	159772403	CCNJL	-	H. sapiens	77	0.0202755607161287
hs2	9724101	9771143	YWHAQ	-	H. sapiens	78	0.0202413821860401
hs19	36139125	36149763	COX6B1	+	H. sapiens	79	0.0201372687930693
hs3	20202085	20227784	SGOL1	-	H. sapiens	80	0.019911486705925
hs8	25316513	25365436	CDCA2	+	H. sapiens	81	0.0196748179659126
hs6	52128807	52149679	MCM3	-	H. sapiens	82	0.0195062841539422
hs2	169690642	169769881	SPC25	-	H. sapiens	83	0.0193827643373586
hs1	43824626	43828874	CDC20	+	H. sapiens	84	0.0193418069781631
hs1	39491990	39500308	NDUFS5	+	H. sapiens	85	0.0189935118009462
hs22	35796056	35821423	MCM5	+	H. sapiens	86	0.0186576479867602
hs11	57508825	57510986	C11orf31	+	H. sapiens	87	0.0186354467677889
